[[X: 0.641877, Y: 2.150744, Z: -0.407337],[U: 0.5, V: 0.5],[X: 0.443, Y: -0.0692, Z: -0.8939]]
[[X: 0.186931, Y: 1.933436, Z: -0.584579],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.185294, Y: 2.150744, Z: -0.57354],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.370588, Y: 2.150744, Z: -0.541786],[U: 0.5, V: 0.5],[X: 0.1687, Y: 0.0513, Z: -0.9843]]
[[X: 0.161319, Y: 1.125057, Z: -0.335277],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.322638, Y: 1.125057, Z: -0.302683],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.300205, Y: 0.814444, Z: -0.282004],[U: 0.5, V: 0.5],[X: 0.1974, Y: -0.0793, Z: -0.9771]]
[[X: 0.499779, Y: 1.125057, Z: -0.169108],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.558826, Y: 1.125057, Z: -0.124583],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.51997, Y: 0.814444, Z: -0.108844],[U: 0.5, V: 0.5],[X: 0.5981, Y: -0.115, Z: -0.7931]]
[[X: 0.558826, Y: 1.125057, Z: -0.124583],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.9371, Y: -0.1045, Z: -0.333]]
[[X: 0.613848, Y: 0.814444, Z: 0.127697],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
[[X: 0.645277, Y: 1.125057, Z: 0.118705],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
[[X: 0.558826, Y: 1.125057, Z: 0.361994],[U: 0.5, V: 0.5],[X: 0.9388, Y: -0.0853, Z: 0.3336]]
[[X: 0.344555, Y: 0.771391, Z: 0.450818],[U: 0.5, V: 0.5],[X: 0.4336, Y: -0.0366, Z: 0.9003]]
[[X: 0.370302, Y: 1.082004, Z: 0.451044],[U: 0.5, V: 0.5],[X: 0.4336, Y: -0.0366, Z: 0.9003]]
[[X: 0.181779, Y: 1.038952, Z: 0.540094],[U: 0.5, V: 0.5],[X: 0.4336, Y: -0.0366, Z: 0.9003]]
[[X: 0.060777, Y: 1.041469, Z: 0.57093],[U: 0.5, V: 0.5],[X: 0.2467, Y: -0.014, Z: 0.969]]
[[X: 0.0, Y: 1.042733, Z: 0.586419],[U: 0.5, V: 0.5],[X: 0.2467, Y: -0.014, Z: 0.969]]
[[X: 0.0, Y: 0.73212, Z: 0.581915],[U: 0.5, V: 0.5],[X: 0.2467, Y: -0.014, Z: 0.969]]
[[X: 0.568982, Y: 2.51428, Z: -0.185791],[U: 0.5, V: 0.5],[X: 0.3668, Y: 0.7963, Z: -0.4809]]
[[X: 0.636205, Y: 2.483327, Z: -0.185768],[U: 0.5, V: 0.5],[X: 0.3668, Y: 0.7963, Z: -0.4809]]
[[X: 0.636205, Y: 2.368052, Z: -0.376636],[U: 0.5, V: 0.5],[X: 0.3668, Y: 0.7963, Z: -0.4809]]
[[X: 0.734626, Y: 2.444941, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.3168, Y: 0.8119, Z: -0.4903]]
[[X: 0.636205, Y: 2.368052, Z: -0.376636],[U: 0.5, V: 0.5],[X: 0.3168, Y: 0.8119, Z: -0.4903]]
[[X: 0.636205, Y: 2.483327, Z: -0.185768],[U: 0.5, V: 0.5],[X: 0.3168, Y: 0.8119, Z: -0.4903]]
[[X: 0.636205, Y: 2.368052, Z: 0.008705],[U: 0.5, V: 0.5],[X: 0.3179, Y: 0.8156, Z: 0.4834]]
[[X: 0.734626, Y: 2.444941, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.3179, Y: 0.8156, Z: 0.4834]]
[[X: 0.636205, Y: 2.483327, Z: -0.185768],[U: 0.5, V: 0.5],[X: 0.3179, Y: 0.8156, Z: 0.4834]]
[[X: 0.568982, Y: 2.51428, Z: -0.185791],[U: 0.5, V: 0.5],[X: 0.2731, Y: 0.8119, Z: 0.516]]
[[X: 0.568982, Y: 2.368052, Z: 0.04429],[U: 0.5, V: 0.5],[X: 0.2731, Y: 0.8119, Z: 0.516]]
[[X: 0.636205, Y: 2.368052, Z: 0.008705],[U: 0.5, V: 0.5],[X: 0.2731, Y: 0.8119, Z: 0.516]]
[[X: 0.781025, Y: 2.225623, Z: -0.366367],[U: 0.5, V: 0.5],[X: 0.6897, Y: 0.4342, Z: -0.5794]]
[[X: 0.730059, Y: 2.324403, Z: -0.353018],[U: 0.5, V: 0.5],[X: 0.6897, Y: 0.4342, Z: -0.5794]]
[[X: 0.843116, Y: 2.368052, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.6897, Y: 0.4342, Z: -0.5794]]
[[X: 0.924922, Y: 2.259398, Z: -0.158501],[U: 0.5, V: 0.5],[X: 0.6298, Y: 0.5983, Z: 0.4953]]
[[X: 0.843116, Y: 2.368052, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.6298, Y: 0.5983, Z: 0.4953]]
[[X: 0.730059, Y: 2.317387, Z: 0.019241],[U: 0.5, V: 0.5],[X: 0.6298, Y: 0.5983, Z: 0.4953]]
[[X: 1.006727, Y: 2.150744, Z: -0.131269],[U: 0.5, V: 0.5],[X: 0.725, Y: 0.3287, Z: 0.6053]]
[[X: 0.831991, Y: 2.150744, Z: 0.078013],[U: 0.5, V: 0.5],[X: 0.725, Y: 0.3287, Z: 0.6053]]
[[X: 0.966234, Y: 1.885028, Z: 0.061509],[U: 0.5, V: 0.5],[X: 0.725, Y: 0.3287, Z: 0.6053]]
[[X: 0.941453, Y: 1.878075, Z: -0.346361],[U: 0.5, V: 0.5],[X: 0.7853, Y: 0.2565, Z: -0.5635]]
[[X: 0.831991, Y: 2.150744, Z: -0.37476],[U: 0.5, V: 0.5],[X: 0.7853, Y: 0.2565, Z: -0.5635]]
[[X: 1.006727, Y: 2.150744, Z: -0.131269],[U: 0.5, V: 0.5],[X: 0.7853, Y: 0.2565, Z: -0.5635]]
[[X: 0.734626, Y: 2.444941, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.495, Y: 0.6985, Z: -0.5168]]
[[X: 0.843116, Y: 2.368052, Z: -0.185734],[U: 0.5, V: 0.5],[X: 0.495, Y: 0.6985, Z: -0.5168]]
[[X: 0.730059, Y: 2.324403, Z: -0.353018],[U: 0.5, V: 0.5],[X: 0.495, Y: 0.6985, Z: -0.5168]]
[[X: 0.641877, Y: 2.150744, Z: 0.105743],[U: 0.5, V: 0.5],[X: 0.1382, Y: 0.288, Z: 0.9476]]
[[X: 0.831991, Y: 2.150744, Z: 0.078013],[U: 0.5, V: 0.5],[X: 0.1382, Y: 0.288, Z: 0.9476]]
[[X: 0.781025, Y: 2.245182, Z: 0.056744],[U: 0.5, V: 0.5],[X: 0.1382, Y: 0.288, Z: 0.9476]]
[[X: 0.893161, Y: 1.670496, Z: -0.377458],[U: 0.5, V: 0.5],[X: -0.1353, Y: 0.1775, Z: -0.9748]]
[[X: 0.75182, Y: 1.864898, Z: -0.322448],[U: 0.5, V: 0.5],[X: -0.1353, Y: 0.1775, Z: -0.9748]]
[[X: 0.941453, Y: 1.878075, Z: -0.346361],[U: 0.5, V: 0.5],[X: -0.1353, Y: 0.1775, Z: -0.9748]]
[[X: 1.075217, Y: 1.730206, Z: -0.389444],[U: 0.5, V: 0.5],[X: 0.5791, Y: 0.6623, Z: -0.4753]]
[[X: 0.941453, Y: 1.878075, Z: -0.346361],[U: 0.5, V: 0.5],[X: 0.5791, Y: 0.6623, Z: -0.4753]]
[[X: 1.091383, Y: 1.889616, Z: -0.147619],[U: 0.5, V: 0.5],[X: 0.5791, Y: 0.6623, Z: -0.4753]]
[[X: 1.091383, Y: 1.889616, Z: -0.147619],[U: 0.5, V: 0.5],[X: 0.6492, Y: 0.6453, Z: 0.4027]]
[[X: 0.966234, Y: 1.885028, Z: 0.061509],[U: 0.5, V: 0.5],[X: 0.6492, Y: 0.6453, Z: 0.4027]]
[[X: 1.098529, Y: 1.73978, Z: 0.080986],[U: 0.5, V: 0.5],[X: 0.6492, Y: 0.6453, Z: 0.4027]]
[[X: 0.93429, Y: 1.684042, Z: 0.093524],[U: 0.5, V: 0.5],[X: -0.5367, Y: -0.7913, Z: 0.2931]]
[[X: 0.680573, Y: 1.85384, Z: 0.087343],[U: 0.5, V: 0.5],[X: -0.5367, Y: -0.7913, Z: 0.2931]]
[[X: 0.771708, Y: 1.713992, Z: -0.123344],[U: 0.5, V: 0.5],[X: -0.5367, Y: -0.7913, Z: 0.2931]]
[[X: 0.771708, Y: 1.713992, Z: -0.123344],[U: 0.5, V: 0.5],[X: -0.8098, Y: -0.5037, Z: -0.3008]]
[[X: 0.75182, Y: 1.864898, Z: -0.322448],[U: 0.5, V: 0.5],[X: -0.8098, Y: -0.5037, Z: -0.3008]]
[[X: 0.893161, Y: 1.670496, Z: -0.377458],[U: 0.5, V: 0.5],[X: -0.8098, Y: -0.5037, Z: -0.3008]]
[[X: 1.279578, Y: 1.147044, Z: -0.173801],[U: 0.5, V: 0.5],[X: -0.6675, Y: -0.6352, Z: -0.3886]]
[[X: 1.347675, Y: 1.182753, Z: -0.349156],[U: 0.5, V: 0.5],[X: -0.6675, Y: -0.6352, Z: -0.3886]]
[[X: 1.493678, Y: 1.001006, Z: -0.302828],[U: 0.5, V: 0.5],[X: -0.6675, Y: -0.6352, Z: -0.3886]]
[[X: 1.36744, Y: 1.200866, Z: -0.007893],[U: 0.5, V: 0.5],[X: -0.7148, Y: -0.4592, Z: 0.5275]]
[[X: 1.279578, Y: 1.147044, Z: -0.173801],[U: 0.5, V: 0.5],[X: -0.7148, Y: -0.4592, Z: 0.5275]]
[[X: 1.416937, Y: 0.976574, Z: -0.136059],[U: 0.5, V: 0.5],[X: -0.7148, Y: -0.4592, Z: 0.5275]]
[[X: 1.535352, Y: 1.266561, Z: -0.01734],[U: 0.5, V: 0.5],[X: -0.002, Y: 0.1474, Z: 0.9891]]
[[X: 1.36744, Y: 1.200866, Z: -0.007893],[U: 0.5, V: 0.5],[X: -0.002, Y: 0.1474, Z: 0.9891]]
[[X: 1.518052, Y: 1.017351, Z: 0.019767],[U: 0.5, V: 0.5],[X: -0.002, Y: 0.1474, Z: 0.9891]]
[[X: 1.611505, Y: 1.286205, Z: -0.192695],[U: 0.5, V: 0.5],[X: 0.6843, Y: 0.6297, Z: 0.3677]]
[[X: 1.535352, Y: 1.266561, Z: -0.01734],[U: 0.5, V: 0.5],[X: 0.6843, Y: 0.6297, Z: 0.3677]]
[[X: 1.706544, Y: 1.065263, Z: 0.008824],[U: 0.5, V: 0.5],[X: 0.6843, Y: 0.6297, Z: 0.3677]]
[[X: 1.68217, Y: 1.048918, Z: -0.313771],[U: 0.5, V: 0.5],[X: 0.71, Y: 0.4762, Z: -0.5188]]
[[X: 1.515586, Y: 1.248447, Z: -0.358603],[U: 0.5, V: 0.5],[X: 0.71, Y: 0.4762, Z: -0.5188]]
[[X: 1.611505, Y: 1.286205, Z: -0.192695],[U: 0.5, V: 0.5],[X: 0.71, Y: 0.4762, Z: -0.5188]]
[[X: 1.493678, Y: 1.001006, Z: -0.302828],[U: 0.5, V: 0.5],[X: 0.0322, Y: -0.2225, Z: -0.9744]]
[[X: 1.347675, Y: 1.182753, Z: -0.349156],[U: 0.5, V: 0.5],[X: 0.0322, Y: -0.2225, Z: -0.9744]]
